article_id,dataset_id,type
10.1021_acsomega.3c06074,5VA1,Secondary
10.1021_acsomega.3c06074,CHEMBL1097,Secondary
10.1021_acsomega.3c06074,CHEMBL1257578,Secondary
10.1021_acsomega.3c06074,CHEMBL1257821,Secondary
10.1021_acsomega.3c06074,CHEMBL1782574,Secondary
10.1021_acsomega.3c06074,CHEMBL195180,Secondary
10.1021_acsomega.3c06074,CHEMBL2424928,Secondary
10.1021_acsomega.3c06074,CHEMBL3422978,Secondary
10.1021_acsomega.3c06074,CHEMBL390649,Secondary
10.1021_acsomega.3c06074,CHEMBL572163,Secondary
10.1021_acsomega.3c06074,CHEMBL70,Secondary
10.1038_s41396-020-00885-8,IPR000884,Secondary
10.1038_s41396-020-00885-8,IPR001124,Secondary
10.1038_s41396-020-00885-8,IPR001577,Secondary
10.1038_s41396-020-00885-8,IPR002477,Secondary
10.1038_s41396-020-00885-8,IPR002889,Secondary
10.1038_s41396-020-00885-8,IPR004007,Secondary
10.1038_s41396-020-00885-8,IPR004302,Secondary
10.1038_s41396-020-00885-8,IPR004785,Secondary
10.1038_s41396-020-00885-8,IPR004911,Secondary
10.1038_s41396-020-00885-8,IPR004963,Secondary
10.1038_s41396-020-00885-8,IPR004981,Secondary
10.1038_s41396-020-00885-8,IPR005524,Secondary
10.1038_s41396-020-00885-8,IPR006201,Secondary
10.1038_s41396-020-00885-8,IPR008139,Secondary
10.1038_s41396-020-00885-8,IPR009613,Secondary
10.1038_s41396-020-00885-8,IPR011040,Secondary
10.1038_s41396-020-00885-8,IPR011124,Secondary
10.1038_s41396-020-00885-8,IPR012338,Secondary
10.1038_s41396-020-00885-8,IPR016201,Secondary
10.1038_s41396-020-00885-8,IPR017920,Secondary
10.1038_s41396-020-00885-8,IPR021345,Secondary
10.1038_s41396-020-00885-8,IPR028730,Secondary
10.1038_s41396-020-00885-8,IPR029723,Secondary
10.1038_s41396-020-00885-8,IPR029787,Secondary
10.1038_s41396-020-00885-8,IPR033396,Secondary
10.1038_s41396-020-00885-8,IPR036452,Secondary
10.1038_s41396-020-00885-8,PF00348,Secondary
10.1038_s41396-020-00885-8,PF00484,Secondary
10.1038_s41396-020-00885-8,PF01493,Secondary
10.1038_s41396-020-00885-8,PF05834,Secondary
10.1038_s41396-020-00885-8,PF15461,Secondary
10.1038_s41597-019-0101-y,GSE130386,Primary
10.1038_s41597-019-0101-y,SRP184152,Primary
10.1038_s41597-023-02280-2,EMPIAR-10005,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10017,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10028,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10081,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10093,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10345,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10387,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10406,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10532,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10590,Secondary
10.1038_s41597-023-02280-2,EMPIAR-10852,Secondary
10.1038_s41597-023-02280-2,EMPIAR-11057,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000011038,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000013718,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000017121,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000017131,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000021275,Secondary
10.1038_s41598-020-59839-x,ENSBTAG00000047833,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000003950,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000012128,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000012835,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000013782,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000013966,Secondary
10.1038_s41598-020-59839-x,ENSOARG00000014129,Secondary
10.1038_s41598-020-59839-x,IPR000264,Secondary
10.1038_s41598-020-59839-x,IPR002172,Secondary
10.1038_s41598-020-59839-x,IPR014760,Secondary
10.1038_s41598-020-59839-x,IPR020857,Secondary
10.1038_s41598-020-59839-x,IPR020858,Secondary
10.1038_s41598-020-59839-x,IPR021177,Secondary
10.1038_s41598-020-59839-x,IPR023415,Secondary
10.1038_s41598-020-59839-x,NM_001078656,Secondary
10.1038_s41598-024-56373-y,BX119912,Secondary
10.1038_s41598-024-56373-y,CP001848,Secondary
10.1038_s41598-024-56373-y,CP130886,Secondary
10.1038_s41598-024-56373-y,STH00996,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000003274,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000007289,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000008499,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000013362,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000015979,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000017222,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000042190,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000043132,Secondary
10.1080_21645515.2023.2189598,ENSMMUT00000047863,Secondary
10.1080_21645515.2023.2189598,F6RVJ3,Secondary
10.1093_nar_gkp1049,3.10.180.10,Secondary
10.1093_nar_gkp1049,3.20.20.120,Secondary
10.1093_nar_gkp1049,3.20.20.140,Secondary
10.1093_nar_gkp1049,3.30.450.20,Secondary
10.1093_nar_gkp1049,3.30.450.40,Secondary
10.1093_nar_gkp1049,3.30.930.10,Secondary
10.1093_nar_gkp1049,3.40.30.10,Secondary
10.1093_nar_gkp1049,3.40.50.1000,Secondary
10.1093_nar_gkp1049,3.40.50.1820,Secondary
10.1093_nar_gkp1049,3.40.50.620,Secondary
10.1093_nar_gkp1049,3.40.630.30,Secondary
10.1093_nar_gkp1049,3.90.1200.10,Secondary
10.1093_nar_gkp1049,3.90.226.10,Secondary
10.1093_nar_gkp1049,3.90.228.10,Secondary
10.1093_nar_gkp1049,PF00106,Secondary
10.1093_nar_gkp1049,PF03372,Secondary
10.1111_acel.13089,rs33912345,Primary
10.1111_bph.14747,HGNC:13735,Missing
10.1111_bph.14747,HGNC:3560,Missing
10.1111_bph.14747,HGNC:9996,Missing
10.1111_cas.12935,CAB004592,Secondary
10.1111_cas.12935,CAB010055,Secondary
10.1111_cas.12935,HPA001426,Secondary
10.1111_cas.12935,HPA001522,Secondary
10.1111_cas.12935,HPA001612,Secondary
10.1111_cas.12935,HPA003156,Secondary
10.1111_cas.12935,HPA003927,Secondary
10.1111_cas.12935,HPA007450,Secondary
10.1111_cas.12935,HPA008063,Secondary
10.1111_cas.12935,HPA030827,Secondary
10.1111_cas.12935,HPA042865,Secondary
10.1111_cas.12935,O75787,Secondary
10.1111_cas.12935,P17900,Secondary
10.1111_cas.12935,P21741,Secondary
10.1111_cas.12935,P23142,Secondary
10.1111_cas.12935,P24593,Secondary
10.1111_cas.12935,P24821,Secondary
10.1111_cas.12935,P51884,Secondary
10.1111_cas.12935,P53004,Secondary
10.1111_cas.12935,Q08629,Secondary
10.1111_cas.12935,Q12907,Secondary
10.1111_cas.12935,Q96AG4,Secondary
10.1111_cas.12935,Q99538,Secondary
10.1128_JVI.01717-21,EPI_ISL_291131,Primary
10.1128_JVI.01717-21,EPI_ISL_293286,Primary
10.1128_JVI.01717-21,EPI_ISL_293287,Primary
10.1128_JVI.01717-21,EPI_ISL_293288,Primary
10.1128_JVI.01717-21,EPI_ISL_293289,Primary
10.1128_JVI.01717-21,EPI_ISL_293290,Primary
10.1128_JVI.01717-21,EPI_ISL_293291,Primary
10.1128_JVI.01717-21,EPI_ISL_332358,Primary
10.1128_JVI.01717-21,EPI_ISL_332395,Primary
10.1128_JVI.01717-21,EPI_ISL_332396,Primary
10.1128_JVI.01717-21,EPI_ISL_332399,Primary
10.1128_JVI.01717-21,EPI_ISL_332401,Primary
10.1128_JVI.01717-21,EPI_ISL_376123,Primary
10.1128_JVI.01717-21,EPI_ISL_445001,Primary
10.1128_JVI.01717-21,EPI_ISL_445002,Primary
10.1128_JVI.01717-21,EPI_ISL_445051,Primary
10.1128_JVI.01717-21,EPI_ISL_445052,Primary
10.1128_JVI.01717-21,EPI_ISL_445089,Primary
10.1128_JVI.01717-21,EPI_ISL_445090,Primary
10.1128_JVI.01717-21,EPI_ISL_445091,Primary
10.1128_JVI.01717-21,EPI_ISL_445092,Primary
10.1128_JVI.01717-21,EPI_ISL_445093,Primary
10.1128_spectrum.00422-24,K02388,Secondary
10.1128_spectrum.00422-24,K02389,Secondary
10.1128_spectrum.00422-24,K02390,Secondary
10.1128_spectrum.00422-24,K02391,Secondary
10.1128_spectrum.00422-24,K02396,Secondary
10.1128_spectrum.00422-24,K02397,Secondary
10.1128_spectrum.00422-24,K02398,Secondary
10.1128_spectrum.00422-24,K02400,Secondary
10.1128_spectrum.00422-24,K02401,Secondary
10.1128_spectrum.00422-24,K02404,Secondary
10.1128_spectrum.00422-24,K02405,Secondary
10.1128_spectrum.00422-24,K02407,Secondary
10.1128_spectrum.00422-24,K02409,Secondary
10.1128_spectrum.00422-24,K02410,Secondary
10.1128_spectrum.00422-24,K02412,Secondary
10.1128_spectrum.00422-24,K02413,Secondary
10.1128_spectrum.00422-24,K02414,Secondary
10.1128_spectrum.00422-24,K02417,Secondary
10.1128_spectrum.00422-24,K02418,Secondary
10.1128_spectrum.00422-24,K02422,Secondary
10.1128_spectrum.00422-24,PF00248,Secondary
10.1128_spectrum.00422-24,PF00356,Secondary
10.1128_spectrum.00422-24,PF01052,Secondary
10.1128_spectrum.00422-24,PF02154,Secondary
10.1128_spectrum.00422-24,PF03748,Secondary
10.1128_spectrum.00422-24,PF03963,Secondary
10.1128_spectrum.00422-24,PF04347,Secondary
10.1128_spectrum.00422-24,PF04509,Secondary
10.1128_spectrum.00422-24,PF13377,Secondary
10.1136_jitc-2021-003114,CVCL_0213,Secondary
10.1136_jitc-2021-003114,CVCL_0395,Secondary
10.1136_jitc-2021-003114,CVCL_0530,Secondary
10.1136_jitc-2021-003114,CVCL_0627,Secondary
10.1136_jitc-2021-003114,CVCL_1916,Secondary
10.1136_jitc-2021-003114,CVCL_1917,Secondary
10.1136_jitc-2021-003114,CVCL_1918,Secondary
10.1136_jitc-2021-003114,CVCL_1919,Secondary
10.1136_jitc-2021-003114,CVCL_2213,Secondary
10.1136_jitc-2021-003114,CVCL_2235,Secondary
10.1136_jitc-2021-003114,CVCL_3967,Secondary
10.1136_jitc-2021-003114,CVCL_6245,Secondary
10.1136_jitc-2021-003114,CVCL_7151,Secondary
10.1136_jitc-2021-003114,CVCL_D615,Secondary
10.1136_jitc-2021-003114,CVCL_KS61,Secondary
10.1186_s13039-022-00631-z,GSE67047,Secondary
10.1186_s13039-022-00631-z,GSE87048,Secondary
10.1371_journal.pcbi.1011828,E-PROT-100,Secondary
10.1371_journal.pcbi.1011828,E-PROT-101,Secondary
10.1371_journal.pcbi.1011828,E-PROT-102,Secondary
10.1371_journal.pcbi.1011828,E-PROT-103,Secondary
10.1371_journal.pcbi.1011828,E-PROT-104,Secondary
10.1371_journal.pcbi.1011828,E-PROT-105,Secondary
10.1371_journal.pcbi.1011828,E-PROT-106,Secondary
10.1371_journal.pcbi.1011828,E-PROT-107,Secondary
10.1371_journal.pcbi.1011828,E-PROT-108,Secondary
10.1371_journal.pcbi.1011828,E-PROT-109,Secondary
10.1371_journal.pcbi.1011828,E-PROT-110,Secondary
10.1371_journal.pcbi.1011828,E-PROT-23,Secondary
10.1371_journal.pcbi.1011828,PXD001676,Secondary
10.1371_journal.pcbi.1011828,PXD002137,Secondary
10.1371_journal.pcbi.1011828,PXD005693,Secondary
10.1371_journal.pcbi.1011828,PXD005709,Secondary
10.1371_journal.pcbi.1011828,PXD010458,Secondary
10.1371_journal.pcbi.1011828,PXD014511,Secondary
10.1371_journal.pcbi.1011828,PXD019504,Secondary
10.1371_journal.pcbi.1011828,PXD020454,Secondary
10.1371_journal.pcbi.1011828,PXD031556,Secondary
10.1371_journal.pcbi.1011828,PXD032899,Secondary
10.1371_journal.pone.0159387,CP013147,Secondary
10.1371_journal.pone.0159387,PRJNA10687,Secondary
10.1371_journal.pone.0159387,PRJNA16146,Secondary
10.1371_journal.pone.0159387,PRJNA16148,Secondary
10.1371_journal.pone.0159387,PRJNA167229,Secondary
10.1371_journal.pone.0159387,PRJNA167235,Secondary
10.1371_journal.pone.0159387,PRJNA167242,Secondary
10.1371_journal.pone.0159387,PRJNA167243,Secondary
10.1371_journal.pone.0159387,PRJNA167255,Secondary
10.1371_journal.pone.0159387,PRJNA167259,Secondary
10.1371_journal.pone.0159387,PRJNA185511,Secondary
10.1371_journal.pone.0159387,PRJNA20133,Secondary
10.1371_journal.pone.0159387,PRJNA217894,Secondary
10.1371_journal.pone.0159387,PRJNA287300,Secondary
10.1371_journal.pone.0159387,PRJNA293,Secondary
10.1371_journal.pone.0159387,PRJNA296687,Secondary
10.1371_journal.pone.0159387,PRJNA32553,Secondary
10.1371_journal.pone.0159387,PRJNA47139,Secondary
10.1371_journal.pone.0159387,PRJNA65041,Secondary
10.1371_journal.pone.0159387,PRJNA65043,Secondary
10.1371_journal.pone.0159387,PRJNA74039,Secondary
10.1371_journal.pone.0159387,PRJNA74077,Secondary
10.1371_journal.pone.0159387,PRJNA74079,Secondary
10.1371_journal.pone.0159387,PRJNA74089,Secondary
10.1371_journal.pone.0159387,PRJNA74123,Secondary
10.1371_journal.pone.0159387,PRJNA74167,Secondary
10.1371_journal.pone.0159387,SRX1830060,Secondary
10.1371_journal.pone.0170126,KU363060,Missing
10.1371_journal.pone.0212669,E-GEOD-19722,Secondary
10.1371_journal.pone.0212669,E-GEOD-28654,Secondary
10.1371_journal.pone.0212669,E-GEOD-29623,Secondary
10.1371_journal.pone.0212669,E-GEOD-39084,Secondary
10.1371_journal.pone.0212669,E-GEOD-45216,Secondary
10.1371_journal.pone.0212669,E-GEOD-45670,Secondary
10.1371_journal.pone.0212669,E-GEOD-46474,Secondary
10.1371_journal.pone.0212669,E-GEOD-48278,Secondary
10.1371_journal.pone.0212669,E-GEOD-48350,Secondary
10.1371_journal.pone.0212669,E-GEOD-48780,Secondary
10.1371_journal.pone.0212669,E-GEOD-49243,Secondary
10.1371_journal.pone.0212669,E-GEOD-50774,Secondary
10.1371_journal.pone.0212669,E-GEOD-53224,Secondary
10.1371_journal.pone.0212669,E-GEOD-53890,Secondary
10.1371_journal.pone.0212669,E-GEOD-54543,Secondary
10.1371_journal.pone.0212669,E-GEOD-54837,Secondary
10.1371_journal.pone.0212669,E-GEOD-58697,Secondary
10.1371_journal.pone.0212669,E-GEOD-59312,Secondary
10.1371_journal.pone.0212669,E-GEOD-60028,Secondary
10.1371_journal.pone.0212669,E-GEOD-61804,Secondary
10.1371_journal.pone.0212669,E-GEOD-63626,Secondary
10.1371_journal.pone.0212669,E-GEOD-64415,Secondary
10.1371_journal.pone.0212669,E-GEOD-64857,Secondary
10.1371_journal.pone.0212669,E-GEOD-67851,Secondary
10.1371_journal.pone.0212669,E-GEOD-68720,Secondary
10.1371_journal.pone.0262974,2nrj,Secondary
10.1371_journal.pone.0262974,4k1p,Secondary
10.1371_journal.pone.0262974,7nmq,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_10271777,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_13295050,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_1626969,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_17371329,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340570,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340575,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340581,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340614,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340615,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340626,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2340662,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2365356,Secondary
10.3389_fcimb.2024.1292467,EPI_ISL_2402571,Secondary
10.3389_fmicb.2024.1456637,NC_017643.1,Secondary
10.3389_fmicb.2024.1456637,SAMN07159041,Secondary
10.3389_fmicb.2024.1456637,SAMN07159044,Secondary
10.3389_fmicb.2024.1456637,SAMN07159045,Secondary
10.3389_fmicb.2024.1456637,SAMN08172567,Secondary
10.3389_fmicb.2024.1456637,SAMN08199278,Secondary
10.3389_fmicb.2024.1456637,SAMN09534374,Secondary
10.3389_fmicb.2024.1456637,SAMN12620691,Secondary
10.3389_fmicb.2024.1456637,SAMN12620692,Secondary
10.3389_fmicb.2024.1456637,SAMN12620693,Secondary
10.3389_fmicb.2024.1456637,SAMN12620694,Secondary
10.3389_fmicb.2024.1456637,SAMN12620697,Secondary
10.3389_fmicb.2024.1456637,SAMN12620700,Secondary
10.3389_fmicb.2024.1456637,SAMN12620701,Secondary
10.3389_fmicb.2024.1456637,SAMN12620702,Secondary
10.3389_fmicb.2024.1456637,SAMN12620703,Secondary
10.3389_fmicb.2024.1456637,SAMN12620704,Secondary
10.3389_fmicb.2024.1456637,SAMN17525956,Secondary
10.3390_microorganisms8121872,CHEMBL1568820,Secondary
10.3390_microorganisms8121872,CHEMBL1652119,Secondary
10.3390_microorganisms8121872,CHEMBL198796,Secondary
10.3390_microorganisms8121872,CHEMBL243644,Secondary
10.3390_microorganisms8121872,CHEMBL2436978,Secondary
10.3390_microorganisms8121872,CHEMBL3109593,Secondary
10.3390_microorganisms8121872,CHEMBL3311228,Secondary
10.3390_microorganisms8121872,CHEMBL3752642,Secondary
10.3390_microorganisms8121872,CHEMBL3960662,Secondary
10.3390_microorganisms8121872,CHEMBL402487,Secondary
10.3390_microorganisms8121872,CHEMBL403,Secondary
10.3390_microorganisms8121872,CHEMBL4065616,Secondary
10.3390_microorganisms8121872,CHEMBL408500,Secondary
10.3390_microorganisms8121872,CHEMBL561,Secondary
10.3390_microorganisms8121872,CHEMBL64391,Secondary
10.3390_microorganisms8121872,CHEMBL76,Secondary
10.3390_v11060565,D10700,Secondary
10.3390_v11060565,EPI1018205,Secondary
10.3390_v11060565,EPI1018206,Secondary
10.3390_v11060565,EPI1018207,Secondary
10.3390_v11060565,EPI1018208,Secondary
10.3390_v11060565,EPI1018210,Secondary
10.3390_v11060565,EPI1018211,Secondary
10.3390_v11060565,EPI1019551,Secondary
10.3390_v11060565,EPI1019552,Secondary
10.3390_v11060565,EPI1019553,Secondary
10.3390_v11060565,EPI1019554,Secondary
10.3390_v11060565,EPI1019555,Secondary
10.3390_v11060565,EPI1019556,Secondary
10.3390_v11060565,EPI1019558,Secondary
10.3390_v11060565,EPI1104284,Secondary
10.3390_v11060565,EPI1104285,Secondary
10.3390_v11060565,EPI1104286,Secondary
10.3390_v11060565,EPI1104288,Secondary
10.3390_v11060565,EPI1183999,Secondary
10.3390_v11060565,EPI1184004,Secondary
10.3390_v11060565,EPI1184005,Secondary
10.3390_v11060565,EPI1184014,Secondary
10.3390_v11060565,EPI1387245,Primary
10.3390_v11060565,EPI954552,Secondary
10.3390_v11060565,EPI954553,Secondary
10.3390_v11060565,EPI954554,Secondary
10.3390_v11060565,EPI954555,Secondary
10.3390_v11060565,EPI954556,Secondary
10.3390_v11060565,EPI954557,Secondary
10.3390_v11060565,EPI954559,Secondary
10.3390_v11060565,KX000727,Secondary
10.3390_v11060565,KX000734,Secondary
10.7554_eLife.63194,ERR2135448,Secondary
10.7554_eLife.63194,PF00078,Secondary
10.7554_eLife.63194,PF02170,Secondary
10.7554_eLife.63194,PF02171,Secondary
10.7554_eLife.63194,PF03368,Secondary
10.7554_eLife.63194,PF05183,Secondary
10.7554_eLife.63194,SRR2429147,Secondary
10.7554_eLife.63194,SRR2430028,Secondary
10.7554_eLife.63194,SRR2430030,Secondary
10.7554_eLife.63194,SRR7962068,Secondary
10.7554_eLife.72626,CHEMBL3347550,Primary
10.7554_eLife.72626,CHEMBL3347551,Primary
10.7554_eLife.72626,CHEMBL3733336,Primary
10.7554_eLife.72626,CVCL_1379,Primary
10.7554_eLife.72626,MODEL2106070001,Primary
10.7717_peerj.10452,PRJNA664798,Secondary
10.7717_peerj.10452,SAMN16233641,Primary
10.7717_peerj.10452,SAMN16233642,Primary
10.7717_peerj.10452,SAMN16233643,Primary
10.7717_peerj.10452,SAMN16233644,Primary
10.7717_peerj.10452,SAMN16233645,Primary
10.7717_peerj.10452,SAMN16233646,Primary
10.7717_peerj.10452,SAMN16233647,Primary
10.7717_peerj.10452,SAMN16233648,Primary
10.7717_peerj.10452,SAMN16233649,Primary
10.7717_peerj.10452,SAMN16233650,Primary
10.7717_peerj.10452,SAMN16233651,Primary
10.7717_peerj.10452,SAMN16233652,Primary
10.7717_peerj.10452,SAMN16233653,Primary
10.7717_peerj.10452,SAMN16233654,Primary
10.7717_peerj.10452,SAMN16233655,Primary
10.7717_peerj.10452,SAMN16233656,Primary
10.7717_peerj.10452,SAMN16233657,Primary
10.7717_peerj.10452,SAMN16233658,Primary
10.7717_peerj.10452,SAMN16233659,Primary
10.7717_peerj.10452,SAMN16233660,Primary
10.7717_peerj.10452,SAMN16233661,Primary
10.7717_peerj.10452,SAMN16233662,Primary
10.7717_peerj.10452,SAMN16233663,Primary
10.7717_peerj.10452,SAMN16233664,Primary
